Category,Description
Household,"Dehman 100-Percent Silky Satin Hair Beauty Pillowcase, Black, King Size DEHMANSATIN Silk originated in INDIA and it is an honor to present this ancient oriental gift to you. The collective wisdom of the sericulture people of this land has been condensed DEHMAN has always adhered to its original heart from generation to generation. From raw satin silk material collection to processing and to finished products,each step is carefully selected. DEHMAN hopes that every customer will have a wonderful satin silk experience and enjoy the silky noble life. Why Choose DEHMAN Pillowcase ? Material：DEHMAN Satin Silk pillowcase is crafted by 19 momme pure mulberry silk. Both sides of the pillowcase is organic and natural satin silk.Light weight and easy to carry. Design: It is designed with hidden zipper closure.With Queen(20x30inches) and King(20x36inches) and Standard size(20x26inches) in various kinds colours. Quality：Superior durable plain color ,not easy to run after washing.Exquisite craftmanship of the neat stitches. Benefits:DEHMAN pillowcase is the most natural anti-aging product, hypoallergenic,smooth,soft,breathable. Prevent hair from becoming knotted and matted,have good sleeping,reduce facial wrinkles.It takes you into a beautiful dream.Enjoy the sweet sleep and comfortable daily！ SATIN SILK INSTRUCTION:  Dry cleaning or washing by hand are the best methods for cleaning silk for longer use time.Machine wash accepted, please useOur pillowcases are hypoallergenic and made from the finest 100 percent pure charmeuse satin silk. Compared to cotton pillowcases, silk dries out skin and hair comparably less and are recommended by dermatologists to minimize wrinkles. Our satin silk is smooth and dissipates static electricity which makes it a perfect material for combating morning bed hair and frizziness. Can be hand washed but also durable enough to withstand repeated machine washing on delicate settings. Air drying is recommended as excessive heat can damage satin silk."
Books,"Direct Taxes Law & Practice -With special reference to Tax Planning (60th Edition 2018-19) For CA (Final) November 2018,CS (Professional) December 2018,CMA (Final) December 2018,M.Com/MBA/LL.B. and other specialised examinations for academic year 2018-19"
Household,"Kurtzy Plastic Storage Box 3-Layer Transparent Portable Organizer Container 28X18X19 Cm This tiered carrying case is perfect for storing little trinkets, crafts and jewelry galore. Features three tiers of storage with one organizer insert.Functional different size compartments and dividers suitable for the multi size first aid items and daily family pill drug medicine storing and organization. Box features handle on lid for easy transport.Stylish appearance: Exclusive and patent product."
Household,Hiyanshi Gallery 150 TC 100% Cotton Double Bedsheet with 2 Pillow Covers Size 90 by 90 3D Printed Multi Colour With utterly soft and skin friendly cotton material having long lasting colors this king size bed sheet with 2 pillow covers is a complete bargain buyout for your home. The design making your place different and catchy and elegant blend of colors suits every background.
Household,"JaipurCrafts Premium 12 Inch Hookah JaipurCrafts Hookahs come in amazing designs and are made using materials of the finest quality to light up any atmosphere. It is a super-convenient product making you enjoy it from the moment you receive it. Our scientific designs enables it to retain and release a decent amount of smoke, allowing for a more enjoyable smoking experience. !!! Unlimited Fun with Minimal Fuss This hookah is easy to set up. It can also be disassembled for convenient storage, making it easy for you to take it along with you even when travelling. Appealing Colors Classy and stylish, this hookah is just perfect for enhancing the look of your glassware collection. With attractive colors, this Hookah can be a surprise gift for your friend. Durable Material JaipurCrafts pay speacial attention in using materials which make your hookahs last for a very long time. Safety First Most of the components used in JaipurCrafts hookahs are heat resistant. Our special smoking pipe allows you take in and blow out a decent amount of smoke so you have the perfect excuse to chill with your friends !!!"
Household,"Voltas 1 Ton 2 Star Window AC (Copper, 122 LZF, White) Anti Dust, Silver Nano, Self Diagnosis, Energy Saver, Glow Light Button. Warranty: 1 Year on Product and 5 Year on Compressor warranty."
Clothing & Accessories,Voberry Women's Exclusive Knitted Fur Soft Leg Warmers Boot Cuff Boot Cover Package 1 pair leg cuffs
Electronics,QuantumZERO External Powered USB 3.0 Hub (10 Ports 60W)
Electronics,"Mobizmo 4 In 1 Otg Card Reader Four Ports: Lightning + Type C + Micro USB + USB Card Reader- Like Iflash, Idisk, Micro USB, SDHC Lightning Flash Drive"
Electronics,"Apple MK0C2ZM/A Pencil for Apple iPad Pro (White) When using iPad Pro, there may be moments when you want even greater precision. So we painstakingly designed Apple Pencil to expand on the versatility of Multi-Touch. And while the technology inside is unlike anything we've ever engineered, picking up Apple Pencil for the first time feels instantly familiar. It lets you make any number of effects, right down to a single pixel, giving you more creative freedom than ever before. Add Apple Pencil. Erase barriers. You may never have seen Apple Pencil before, but you already know how to use it. From the first moment, it does what you expect. And then far more. Whether you're sketching in the park, painting a watercolour portrait, or drafting a blueprint, Apple Pencil gives you a variety of tools in a single instrument. You hold it, but it doesn't hold you back. Highly responsive. Virtually no lag. The lightning-fast responsiveness of Apple Pencil separates it from other creative tools. That's because its latency - the tiny delay between when you begin drawing and the time it appears on the screen -has been reduced to an almost imperceptible level. IPad Pro knows whether you're using your finger or Apple Pencil. When iPad Pro senses Apple Pencil, the subsystem scans its signal at an astounding 240 times per second, giving it twice the data points it normally collects with your finger. This data, combined with Apple-designed software, means that there's only milliseconds between the image you have in your min."
Household,"Kraftee Handicrafts Premium Natural Wooden Circle Shaped Antique Hand Carved Coffee Table & Stool, 30x30x30cm (Multicolour) Specifications material: solid wood (Poplar Wood) * colour: walnut * style: contemporary * top material: solid wood * side table height: 30 cm, length: 30 cm, width:30 cm * condition: assembled * quantity: 1 piece (Side Table)"
Electronics,Kensington Orbit K72337US Trackball Mouse with Scroll Ring (Black) All-day comfort and scrolling come together in the Kensington Orbit Trackball with Scroll Ring. The scroll ring allows you to fly through web pages and documents. And all while delivering comfort and space savings no mouse can match. PC and Mac compatible.
Clothing & Accessories,"Women Man Aviator Mirrored Sunglasses with Spring Hinges SJ1030 FIND SOJOS Vision WORTH TO TRY AND TRUST   SOJOS Vision loves the sunshine, natural beauty, and of course - beautiful eyes. We design each of our glasses with comfort, lift, and spirituality in mind to fit your lifestyle.   Our name was inspired by the secret in your eyes, coming from the Spanish ‘ojos’ (eyes).   There is truly a story behind everyone’s eyes, and we take pride in creating beautiful eyewear that not only protects, but showcases the mystery of your eyes.   We believe...    Different eyewear should bring you different emotions, and match your personality and lifestyle.   ‘The best doesn’t always mean the most expensive - everyone has their own preference!    Beauty follows you here.   FEATURES ABOUT SJ1054   SOJOS Classic Aviator Sunglasses! A true classic that has held its reign for over four decades, we are pleased to present our most popular mirrored aviator. Made with ideal   shape, metal frame, reinforced metal hinges and full mirror polycarbonate UV protected lenses, so it is no surprise why it is in such high demand.    WHAT YOU GET  Sunglasses * 1  Soft Microfiber Pouch * 1  Soft Glasses Cloth * 1  Exquisite Packaging * 1   HOW TO CARE  To avoid damage, never clean your sunglasses with paper towels or clothing, and also avoid using household detergents or soaps. While a few mild soaps don't harm lenses,  today's extra strength soaps are powerful enough to slowly disintegrate lens.   FIND OTHER SOJOS Vision SUNGLASSES  https://www.amazon.in/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=sojos   ADD TO CART RIGHT NOW!"
Electronics,"Lenovo Tab 3 710I Tablet (7 inch, 8GB, Wi-Fi + 3G + Voice Calling), Black 2Mp primary camera and 0.3Mp front facing camera,17.78 Centimeters (7-inch) ips capacitive touchscreen with 1024 x 600 pixels resolution,android v5.1 Lollipop operating system with 1.3Ghz mediatek quad core processor, 1gb ram, 8gb internal memory and single sim,3450mah lithium-ion battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase"
